ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
1399, I tried to tell her it was a misunderstanding but she just _______ up on me.,  「誤解だと言おうとしたが、彼女は電話を切ってしまった。」  動詞 hang の過去形には hung と hanged があるが、 hanged は「絞首刑にする」という意味のhang のときだけ。,hung,hang,hanged,hanger
1400, The company is much too large and should be _______ up into many smaller regional companies.,  「その会社はあまりにも大きすぎるので、いくつかの地域の会社に分割されるべきだ。」,broken,break,brought,broke
1401," If you don't know the meaning of a word, look it _______ in the dictionary.",  「単語の意味がわからないなら、辞書で調べなさい。」,up,through,for,with
1402, I _______ out of gas on the freeway and had to walk for an hour to get help.,  「高速道路でガソリンがなくなって、助けを得るのに一時間も歩いた。」,ran,run,went,gone
1403, He called _______ the data from the database with a few clicks of the mouse.,  「彼はマウスを何回かクリックして、データベースからデータを呼び出した。」,up,out,off,in
1404," While you are in Tokyo, try to get in touch _______ Hiroko for me.",  「あなたが東京にいる間に、ヒロコに連絡をとってみてください。」,with,of,to,on
1405, The two cities will be _______ by the new bridge that will be completed next year.,  「そのふたつの都市は、来年完成するあたらしい橋で結ばれる。」,connected,connects,connect,connecting
1406, The doctors had _______ limited his salt intake.,  「医者たちは彼に、塩分の摂取を厳しく制限した。」 intake = 摂取,strictly,restricted,restrict,strict
1407, This new plan of yours is _______.,,feasible,likely,like,possibility
1408, Please be here _______ time. You cannot enter when the movie begins.,,in,by,at,at the
1409, Because of ill health he had to _______ his job.,,quit,quit from,pension,suspension
1410, Please do _______ in the exam.,,the best you can,as best as you would,as good as possibly,as good as possible
1411, I will try to be there at 6 but I'll _______ a little later.,,probably come,perhaps,probable come,probable
1412, I am sorry but we have no news _______.,,at the moment,momentarily,present,at the instant
1413, I wish I had known you _______ going.,,were,was,will,has been
1414, He _______ her resistance and bought the house.,,overcame,saved,overwhelms,defeated
1415, I think you had better start _______ on expenses.,,cutting down,saving up,cutting up,decreasing
1416, Please do not _______ lies.,,tell me,say me,keep on,say to me
1417," _______, I wouldn't have gone."," If I had realized, I wouldn't have gone. の if が省略されて had が前に出る。",Had I realized,were I to know,had I been knowing,was I to know
1418, He had to stop playing because of a _______., fracture = 骨折 「彼は骨折したので、プレーをやめなければならなかった。」,fracture,pulled leg,pulling leg,tiring leg
1419," If you come late once more, I will have to _______.",,fire you,promote you,submit you,rehire you
1420, What time do you _______?, 何時にできますか。,make it,have it,seen,take
1421, I am afraid that the lid is _______., very smooth なら文法的には正しいが、意味が合わない。 tight なら正しい。「ふたが固くしまっている。」,stuck,fit,tightly,very smoothly
1422, We _______ a lot of gas everyday., 「毎日多くのガソリンを消費する。」,consume,drink,feed,fed
1423, I hope you try and _______ by six., ここには、tryと同じ品詞の動詞が来る。動詞は return しかない。,return,returning back,away,answer to
1424, I hope you will _______ us at the fair.,,represent,present,be of use,stop over
1425, I am afraid I will have to _______ to the boss.,,report you,submit you,analyze you,scold you
1426," There was a sign which said, ""_______. No swimming!""",,Danger,Dangerous,Listen to sharks,Unportable water
1427, The _______ dog was picked up by the dog cather., ここには、dog を修飾する形容詞がくる。形容詞は、strayだけ。tamefulという単語はない。tameなら「飼いならされた」という意味。,stray,friendly one,tameful,nicely
1428, Every evening before going to bed he reads a little _______., a little は不可算名詞を修飾する。したがって、 verses もpoets も phrases of poetryも不可。,poetry,verses,poets,phrases of poetry
1429, Before you leave  make sure you _______.,,turn off the lights,have turn the lights off,will turn off the lights,turning off the lights
